,,003,Shirt Large- Security,0003,,Pcs,11026003003,,Grandraya new design
,,004,Shirt XL- Security,0004,,Pcs,11026004004,,Grandraya new design
,,005,Shirt XXL- Security,0005,,Pcs,11026005005,,Grandraya new design
,,006,Shirt XXXL-Security,0006,,Pcs,11026006006,,Grandraya new design
,,,,,,,,,
027,Rain coat,001,Rain coat,0001,Disposable,Pcs,11027001001,,Local mkt
,,,,,,,,,
028,Jacket,001,X-Small,0001,,Pcs,11028001001,,Engie logo
,(Engie-Men),002,Small,0002,,Pcs,11028002002,,Engie logo
,Engie- No Female staff,003,Medium,0003,,Pcs,11028003003,,Engie logo
,,004,Large,0004,,Pcs,11028004004,,Engie logo
,,005,XL,0005,,Pcs,11028005005,,Engie logo
,,006,XXL,0006,,Pcs,11028006006,,Engie logo
,,007,XXXL,0007,,Pcs,11028007007,,Engie logo
,,,,,,,,,
029,Suit,001,30,0001,,Pcs,11029001001,,1FM
,(Woman),002,32,0002,,Pcs,11029002002,,1FM
,,003,34,0003,,Pcs,11029003003,,1FM
,,004,36,0004,,Pcs,11029004004,,1FM
,,005,38,0005,,Pcs,11029005005,,1FM
,,006,40,0006,,Pcs,11029006006,,1FM
,,007,42,0007,,Pcs,11029007007,,1FM
,,008,44,0008,,Pcs,11029008008,,1FM
,,009,46,0009,,Pcs,11029009009,,1FM
,,010,Customized,0010,,Pcs,11029010010,,1FM
,,,,,,,,,
030,Trouser ,001,30,0001,,Pcs,11030001001,,T4 Janitorial
,(men),002,32,0002,,Pcs,11030001002,,T4 Janitorial
,,003,34,0003,,Pcs,11030001003,,T4 Janitorial
,,004,36,0004,,Pcs,11030001004,,T4 Janitorial
,,005,38,0005,,Pcs,11030001005,,T4 Janitorial
,,006,40,0006,,Pcs,11030001006,,T4 Janitorial
,,007,42,0007,,Pcs,11030001007,,T4 Janitorial
,,008,44,0008,,Pcs,11030001008,,T4 Janitorial
,,009,46,0009,,Pcs,11030001009,,T4 Janitorial
,,010,Customized,0010,,Pcs,11030001010,,T4 Janitorial
,,,,,,,,,
031,Thermal Underwear,001,30,0001,,Pcs,11031001001,,
,,,,,,,,,
032,Shoes  ,001,36,0001,Shoes- Cleaners,Pcs,11032001001,,T4
,,002,37,0002,,Pcs,11032002002,,T4
,(men),003,38,0003,,Pcs,11032003003,,T4
,,004,39,0004,,Pcs,11032004004,,T4
,,005,40,0005,,Pcs,11032005005,,T4
,,006,41,0006,,Pcs,11032006006,,T4
,,007,42,0007,,Pcs,11032007007,,T4
,,008,43,0008,,Pcs,11032008008,,T4
,,009,44,0009,,Pcs,11032009009,,T4
,,010,45,0010,,Pcs,11032010010,,T4
,,011,46,0011,,Pcs,11032011011,,T4
,,012,47,0012,,Pcs,11032012012,,T4
,,,,,,,,,
033,Shoes ,001,36,0001,,Pcs,11033001001,,T4
,(Woman),002,38,0002,,Pcs,11033002002,,T4
,,003,40,0003,,Pcs,11033003003,,T4
,,004,41,0004,,Pcs,11033004004,,T4
,,005,42,0005,,Pcs,11033005005,,T4
,,006,43,0006,,Pcs,11033006006,,T4
,,007,44,0007,,Pcs,11033007007,,T4
,,008,45,0008,,Pcs,11033008008,,T4
,,009,46,0009,,Pcs,11033009009,,T4
,,010,47,0010,,Pcs,11033010010,,T4
,,,,,,,,,
034,Shirt  Long sleve,001,X-Small,0001,,Pcs,11034001001,,T4-Security
,(men),002,Small,0002,,Pcs,11034002002,,T4-Security
,,003,Medium,0003,,Pcs,11034003003,,T4-Security
,,004,Large,0004,,Pcs,11034004004,,T4-Security
,,005,XL,0005,,Pcs,11034005005,,T4-Security
,,006,XXL,0006,,Pcs,11034006006,,T4-Security
,,007,XXXL,0007,,Pcs,11034007007,,T4-Security
,,008,Customized,0008,,Pcs,11034008008,,T4-Security
,,,,,,,,,
035,Shirt  Long sleeve,001,X-Small,0001,,Pcs,11035001001,,T4-Security
,(Woman),002,Small,0002,,Pcs,11035002002,,T4-Security
,,003,Medium,0003,,Pcs,11035003003,,T4-Security
,,004,Large,0004,,Pcs,11035004004,,T4-Security
,,005,XL,0005,,Pcs,11035005005,,T4-Security
,,006,XXL,0006,,Pcs,11035006006,,T4-Security
,,007,XXXL,0007,,Pcs,11035007007,,T4-Security
